start	end	text
858000	862000	so we are doing co-marketing with them for the leads.
862000	864000	So, yeah.
864000	865000	You got it.
865000	873000	So, coming back, what is the budgets that you are working on?
873000	877000	So, the budget as of now only for this Akila cloud.
877000	880000	Like I mentioned, they didn't have any budget,
880000	885000	but then the spend that we were making was like around $1,000 per month.
885000	889000	So, this word like the CRM and the marketing automation tools.
889000	894000	So, it was like only tool that wherein we were like spending around $1,000.
894000	897000	But then with this limited spend because I did a lot of research
897000	899000	and came up with the platform.
899000	903000	I was like able to generate say like around 15 to 20 leads.
903000	906000	When I say leads, so these are like the marketing qualified leads.
906000	912000	The one who are like very much interested in to see the demo of our products.
912000	914000	And then we have a real life cycle.
914000	918000	So, from the demo, it goes to the SQL and then the POC,
918000	921000	then there is a negotiation and then the closure.
921000	924000	Coming to the numbers, I'll straightforward tell you the numbers of the closure.
924000	933000	So, like I mentioned, the company had a call of achieving like 15 million this financial year.
933000	937000	And out of that for marketing, we had like around $500,000.
937000	947000	So, out of $500,000, I was like able to achieve $288,000 like directly from the marketing.
947000	949000	No involvement of sales and everything.
949000	951000	So, I was like taking care of each and everything.
951000	956000	And that is like only through the organic marketing without spending much of the fund.
956000	958000	Like max, it was like $1,000.
958000	960000	And the revenue, the ticket size is very huge.
960000	964000	So, for you, the number might look very small, but then the ticket size,
964000	968000	it's like somewhere like around $70,000.
968000	973000	One of the deal it was like around $3 million.
973000	975000	And the contract and it's like ARR.
975000	977000	It's an annual recurring revenue.
977000	984000	So, and typically the company goes with minimum one years of contract or it could be three years or five years of contract.
984000	989000	So, yeah, so that's like in terms of directly, I gave you the number of the closures.
989000	994000	Because at the end, the company would be looking like what is the closure that you have made for the company.
994000	996000	So, let me understand.
996000	1006000	Yeah, yes.
1006000	1011000	Yeah.
1011000	1017000	No, this the current year and the last year, so this I'm talking about the current year.
1017000	1020000	Last year.
1020000	1024000	I mean, I'm just trying to understand the panel.
1024000	1026000	Yeah, not really.
1026000	1031000	I'm not thinking about the business as much, but I want to just get the panel in my mind.
1031000	1033000	Structure.
1033000	1040000	So, I'll give you the MQL number, but then I'll tell you.
1040000	1048000	So, the tool that we were using Apollo, it had CRM and marketing automations.
1049000	1052000	And for scheduling the call, we were using Calendly.
1052000	1054000	Okay, so this are three tools.
1054000	1059000	So with Apollo, I had a, so I have a person who does the data mining.
1059000	1066000	So we put in like around 65,000 of data mining every month, 65,000 new contacts.
1066000	1075000	Okay, based on that, we were like doing email marketing, the marketing automation strategy, what I do is like slightly different.
1075000	1081000	So it's like around five to six lack of email sense per month.
1081000	1087000	All right, so after this, after this activity, I'm talking about now the leads.
1087000	1093000	So the leads that we were getting was like around 70, the last month what I saw was like around 75.
1093000	1097000	As an average, it could be like 70 to 80 leads per month.
1097000	1100000	This is from your email marketing only.
1100000	1102000	Only, yes, yes.
1102000	1108000	Okay, so from that raw lead, I was like able to get 20 as an MQL.
1108000	1112000	The one who was like very much interested, like they have already booked the meeting.
1112000	1115000	Now we have to give the demo of the product, right?
1115000	1122000	So out of 20 leads, and this are like very high ticket sizes, the large enterprise company that we are targeting.
1122000	1130000	So like TCS, like top 10 MNC companies, the companies of Fortune 500 companies and all those things, right?
1131000	1140000	So the pipeline that we have generated is like around, it could be like around seven millions of the pipeline,
1140000	1142000	the opportunity that we have generated.
1144000	1146000	So this is only email marketing.
1152000	1154000	Opportunity, yes.
1154000	1160000	From the industry, eventually what you said, you converted $28,000.
1161000	1165000	$28,000 annual recurring revenue.
1165000	1167000	If you converted it, correct.
1167000	1169000	All right, yes, yes.
1169000	1171000	So seven million is three years.
1173000	1178000	Seven million is one year.
1178000	1180000	Six months, six months.
1181000	1183000	Understood, understood.
1183000	1189000	Basically, do you have in other sources, like your forms inbound, that is separate revenue.
1189000	1191000	This is not what you're talking about.
1191000	1193000	All right, right, yes.
1193000	1196000	So what does this get across?
1197000	1198000	Sorry?
1198000	1201000	Inbound leads and your outbound leads.
1202000	1204000	These are like all inbound leads.
1205000	1211000	So we are like reaching out over the LinkedIn and email marketing and we are like,
1211000	1219000	so those are the people who are interested in scheduling a call with us for the demo of the product.
1221000	1223000	I'm just giving an example of this company.
1223000	1229000	My experience is totally different with people in unified communication because over there, it's a pretty big company.
1229000	1230000	Didn't have any.
1232000	1238000	So I was working as a head of marketing reporting to the co-founder Amit Chaudhary, CEO and the co-founder.
1238000	1241000	They are the company, they have presence in all major cities in India.
1241000	1247000	They have offices in the US and for Middle East, Saudi Arabia and Dubai.
1247000	1251000	They have presence in Australia, New Zealand and Africa region.
1251000	1254000	So I was like doing the global marketing over there.
1255000	1257000	There was no restriction.
1257000	1259000	The company was about to get into the IPO.
1259000	1267000	So we were doing like an entire N2 and 360 degree of marketing, which includes everything, not only limited to digital marketing, but also offline marketing.
1267000	1276000	So we were doing events like we were, we have participated into Gitex, Infocom, which is like the Asia largest, the event that it happened.
1276000	1282000	Can we just flip like your channels and percent of leads coming from these channels and you spend on each of these channels?
1284000	1290000	Okay. So for people link, I would say around $80,000 as an average $80,000.
1290000	1296000	We were like spending only on advertising, which includes Google ads, LinkedIn ads, Bing ads, video ads.
1296000	1297000	Monthly.
1297000	1298000	Yeah.
1298000	1299000	So all of this.
1299000	1300000	Monthly.
1300000	1301000	Yeah.
1301000	1302000	Monthly, right?
1302000	1303000	Monthly.
1303000	1304000	Monthly.
1304000	1305000	Monthly.
1305000	1306000	Monthly.
1306000	1307000	Monthly.
1307000	1308000	Monthly.
1308000	1309000	Monthly.
1309000	1310000	Monthly.
1310000	1311000	Monthly.
1311000	1312000	Monthly.
1313000	1315000	Is it okay if I share my screen?
1315000	1317000	It's like already documented, I have my experience.
1317000	1321000	You can just verbally share and you might not get a chance to show it.
1321000	1328000	So it is important for you to just give it to me verbally.
1328000	1330000	Okay.
1330000	1337000	So, I will tell you all of it, we were spending around, initially we started with $20,000
1337000	1345500	$20,000 and then looking at the performance, we then had this consistent of the spend that is $80,000 as an average.
1345500	1348000	Sometime it was like $90,000, $70,000.
1348000	1349500	But this is just ads, right?
1349500	1350500	It's just ads.
1350500	1352500	All different kinds of advertising, yes.
1352500	1353500	Online advertising.
1353500	1355500	Google ads, LinkedIn ads.
1355500	1357500	Total marketing spend.
1359500	1363500	So this was $80,000 and they were like another somewhere like around
1363500	1370500	maybe like around four to five CR or only for the events that we were spending.
1370500	1373500	Since they were like into electronics, they were like into video conferencing.
1373500	1374500	They have like.
1374500	1375500	Half a million.
1375500	1379500	This is like annual.
1379500	1380500	Yes.
1380500	1386500	Almost a million year spending on digital.
1386500	1387500	Right.
1387500	1392500	Less than 750K, 800K.
1392500	1394500	Monthly, 80,000.
1394500	1396500	Right.
1396500	1397500	Yes.
1397500	1399500	Almost a million year and half a million.
1399500	1401500	So your events.
1401500	1403500	10 crore.
1403500	1406500	Your total marketing spend.
1406500	1409500	Tell us about the split across channels.
1409500	1412500	How many leads did you get on this channel?
1412500	1414500	What was your spend?
1415500	1416500	Two channel.
1416500	1420500	Like they were like a lot of channel may directly up go directly.
1420500	1423500	I'm telling you instead of going in more detail.
1423500	1424500	So they were like two channel.
1424500	1428500	One is like the event and the other one was the advertising, the paid advertising.
1428500	1429500	Again, paid advertising.
1429500	1433500	If I have to be very specific, it was like the Google ads.
1433500	1436500	And if I have to talk to the target market.
1436500	1441500	So we were like targeting Middle East, North America and India.
1441500	1444500	Maximum of the lead was coming from the India.
1444500	1445500	Okay.
1445500	1446500	Okay.
1446500	1450500	And what is the length of your sales cycle?
1450500	1454500	What is the length of the previous sales cycle?
1454500	1458500	Akhila Cloud's sales cycle is a bit long.
1458500	1460500	As an average, it's like six months.
1460500	1466500	And I think it's three months.
1466500	1469500	And what is the ACV?
1469500	1470500	Sorry.
1470500	1471500	ACV means?
1471500	1472500	ACV.
1472500	1473500	I know.
1473500	1484500	It depends because they have like around more than 65 categories in electronics.
1484500	1486500	They have like webcam interactive display.
1486500	1488500	So just like interactive display,
1488500	1493500	it starts from 5 lakh onwards.
1493500	1495500	Or those cool colleges and universities.
1495500	1497500	So it goes in bulk.
1497500	1501500	It could be like around 20CR, 30CR.
1501500	1502500	They are like very huge.
1502500	1504500	So they have like presence in government.
1504500	1507500	All major universities, school, colleges, hospitals.
1507500	1513500	We have worked with very well known this thing from education sectors, hospitals.
1513500	1517500	It's a bigger ACV and a less smaller sales cycle.
1517500	1518500	Yes.
1518500	1519500	Yes.
1519500	1520500	Because they are.
1520500	1525500	You told me, who were the people below you?
1525500	1528500	They were like around team size.
1528500	1530500	It was like around 35 to 40 people.
1530500	1533500	Like in talking about, so I had a manager.
1533500	1535500	I had a PPC manager.
1535500	1536500	I had a content manager.
1536500	1538500	I had a creative manager.
1538500	1541500	I had an insult sales team.
1541500	1543500	Insult sales head.
1543500	1547500	They were like around four managers.
1547500	1550500	Or they were like the branches.
1550500	1554500	Like for example, creative head, creative manager.
1554500	1559500	Under him, I had like around six to seven graphic designers and animators.
1559500	1561500	Because it was like product.
1561500	1566500	So we had to create a walkthrough of the entire product, unboxing of the product.
1566500	1569500	And you can also find it on LinkedIn official channel.
1569500	1573500	A lot of videos are there of events or products or anything.
1573500	1574500	Yeah.
1574500	1575500	It's a OEM.
1575500	1580500	It's a manufacturer of video equipments, video conferencing equipments.
1580500	1583500	And they are like very well known.
1583500	1588500	It's comparable to Logitech.
1588500	1595500	Insights team was how big content was how big?
1595500	1600500	So the biggest team was into Insights sales team.
1600500	1603500	Maybe like around 15 people.
1603500	1611500	And the graphic designer, as I mentioned, it was like around six people working in, as I remember.
1611500	1618500	And SEO, I had three off page and maybe like two on page who does the technical work.
1618500	1622500	Social media was handled by the content writer itself.
1622500	1625500	So we had like three content writers.
1625500	1629500	And yeah, on PPC advertiser, we had like two people doing PPC.
1629500	1638500	And it was like, so I actually hired someone who has like experience throughout their career
1638500	1642500	with that specific role, with that specific vertical.
1642500	1648500	So like for example, PPC, I had only that candidate who has experience from start of his career.
1648500	1653500	So I was like able to find such candidate and then it was working very well.
1653500	1658500	You have spent 10 crore that includes the salaries or no?
1658500	1660500	No, no, no.
1660500	1663500	That's like separate.
1663500	1668500	Okay.
1668500	1671500	What is your current CTC?
1671500	1674500	Current CTC is 38 LPA.
1674500	1680500	We're in 34 LPS fix, 4 LPS bonus when I get at the end of the year.
1680500	1685500	In addition to LPA, there is a 5% of incentives.
1685500	1691500	Why are you looking out now?
1691500	1694500	Sorry, why are you looking out?
1694500	1699500	So like initially, I don't know, like I mentioned Akila Cloud as a startup firm,
1699500	1703500	I can disclose the name of the investor.
1703500	1708500	It's India Accelerator and they were like also securing the another.
1708500	1710500	I'm not sure about the exact value.
1710500	1712500	It is also published on PR.
1712500	1716500	I only have done the PR of the investment, but then they haven't disclosed the amount,
1716500	1720500	but then I got to know like the amount what they have reserved is very less.
1720500	1725500	That's like out of 100% could be like 2% of investment what they have got in terms of funding.
1725500	1730500	So when you have all of those news, there is always a fear right in terms of stability.
1730500	1735500	So because of that, I started exploring and then I got this opportunity.
1735500	1739500	Like on 1st June, I got the confirmation from this another company.
1739500	1745500	I can also, if you want to disclose the name, it's hats of digital, the name of that company.
1746500	1750500	If you already have a loan, when are you joining them?
1750500	1756500	It was supposed to be on 8th July, but then now it will be like 3rd August,
1756500	1759500	because they are like moving from old office to new office.
1759500	1763500	So they are like doing all those interior work and all those things.
1763500	1766500	So it will be completed at the end of this month.
1766500	1773500	So the joining would be 3rd August.
1774500	1778500	This is Pune based on you.
1778500	1781500	Yes, I am like born and brought up in Pune.
1781500	1785500	What are your thoughts about relocation to Bombay?
1785500	1788500	Bombay totally fine like my brother.
1788500	1791500	He works as a second officer in Merchant Navy.
1791500	1793500	He is at Poway.
1793500	1798500	His company is also in the same location at Hiranandani Poway.
1798500	1800500	The name of the company is Scorpio.
1800500	1802500	My wife, she is from Bombay.
1802500	1806500	I have cousins working in SBI, they are like spread out in Bombay.
1806500	1808500	Your wife is in Bombay?
1808500	1811500	She is from Bombay.
1811500	1813500	Yes, yes.
1813500	1818500	My other call has started.
1818500	1820500	Let me chat with you soon.
1820500	1822500	Let me write back to you.
1822500	1824500	I have a chat with my client.
1824500	1827500	I know you are on a short note.
1827500	1829500	Let me come back to you.
1829500	1831500	I will come back to you soon.
1831500	1833500	Thank you.
1833500	1835500	Bye.
